DOY,NIRv
1,0.1047492349806206
9,0.1026959178761408
17,0.0954017453675667
25,0.0916397981593501
33,0.0822101530740744
41,0.083408934238497
49,0.081918941822845
57,0.0816948870721418
65,0.100570477258148
73,0.1056627578086793
81,0.1017077914399941
89,0.0996170721140264
97,0.1138333047599764
105,0.1282112148315973
113,0.1482406207731542
121,0.1503223476776637
129,0.1461007868184843
137,0.172709393035716
145,0.186412499163049
153,0.229773879835073
161,0.2531427017286635
169,0.263221023001343
177,0.3112237344960575
185,0.3191737118214615
193,0.3496098837456088
201,0.3536046642771321
209,0.4008055579171664
217,0.3793608799158608
225,0.3728338386659315
233,0.371100910181427
241,0.3068074251047345
249,0.2923379767608842
257,0.2313750834757742
265,0.2010369774488419
273,0.141802752301664
281,0.1223787297054233
289,0.0936473739277226
297,0.0823383306044832
305,0.0761964004966913
313,0.0766381273984624
321,0.0720268550955809
329,0.0713316458364237
337,0.0732250308084039
345,0.0733616121518741
353,0.0645003775917335
361,0.0622078993918752
