DOY,NIRv
1,0.0727225438281226
9,0.0721245745177683
17,0.0717501613249245
25,0.0703244890423439
33,0.0707604203659244
41,0.0707180734809622
49,0.0684184229691383
57,0.0678969287190985
65,0.071683269861665
73,0.0729059683488928
81,0.0747716956112905
89,0.0772797593990427
97,0.0849661180056177
105,0.0933847925260386
113,0.0986655133862059
121,0.1150003728407351
129,0.1327912185760669
137,0.139587297754281
145,0.1446730155217105
153,0.1583177300545516
161,0.2175955055712096
169,0.2694695300246461
177,0.3480722070505703
185,0.3572147100163411
193,0.3636743754062582
201,0.3583394537332807
209,0.344185514664983
217,0.3456488921863476
225,0.3393279749175094
233,0.3400607356148906
241,0.304297364534337
249,0.2721114621768488
257,0.2003533958048937
265,0.1747295310568304
273,0.1344751719269295
281,0.1219124003509108
289,0.1062873379821565
297,0.1006018836611791
305,0.0933351621475349
313,0.0902814477557739
321,0.0862904473798183
329,0.0857619857642848
337,0.0803691617989785
345,0.0767899351726859
353,0.0757127447261498
361,0.0648153789575676
