DOY,NIRv
1,0.0304228419378238
9,0.0179397328981755
17,0.0406094664789845
25,0.0420809284467223
33,0.0460988021749085
41,0.047293579761823
49,0.0489504514800625
57,0.0528959600897096
65,0.0576549459982131
73,0.0581037725230361
81,0.0631540943637951
89,0.0633009559296537
97,0.0810683704596119
105,0.0824796936931358
113,0.1122760984138686
121,0.1242088446675406
129,0.1494909825996923
137,0.1703926362208856
145,0.161137115757576
153,0.1637648853746332
161,0.1733895392377945
169,0.1860655396147778
177,0.2122431930400037
185,0.2526070481680168
193,0.2876908686990305
201,0.3356588356783998
209,0.3480456691366492
217,0.3746648550787707
225,0.390566584285498
233,0.363754773698983
241,0.3582846719299519
249,0.3116286552433866
257,0.2521890999232906
265,0.1923479461587396
273,0.1350742608116655
281,0.1210891761926717
289,0.1129112038928504
297,0.1053294314501423
305,0.0815385991359805
313,0.074032693933251
321,0.068268659545008
329,0.0647233172164086
337,0.0645120794172763
345,0.0650929455160743
353,0.0605439982148078
361,0.0603739691008913
