DOY,NIRv
1,0.0889975189668192
9,0.091268045937619
17,0.0870447893811034
25,0.0821036031447255
33,0.0810774789409167
41,0.0776333494229822
49,0.0817487298052965
57,0.0894709937209326
65,0.0937469399207045
73,0.1055510874574919
81,0.1316364859427976
89,0.1452729743345394
97,0.1460340671200452
105,0.1599286531525491
113,0.1712752691600017
121,0.1670194267812224
129,0.1898963572919642
137,0.1934735684699569
145,0.1893065238726956
153,0.1960517720245598
161,0.2001064816479316
169,0.2175636989613459
177,0.2696272603844032
185,0.2784432369030812
193,0.3022596995003606
201,0.3139906412911061
209,0.3091807916463346
217,0.2989852054189476
225,0.2915100592743225
233,0.2860536824502497
241,0.2396989613653913
249,0.216732441296061
257,0.1947163612409127
265,0.1622876269362102
273,0.1331024282556003
281,0.1271830430594261
289,0.1222459615185983
297,0.1151428883054602
305,0.1199715312604092
313,0.1213298128391886
321,0.1236529741841645
329,0.1228269812540137
337,0.1189267347439798
345,0.1156826763906206
353,0.1092161749726983
361,0.1051152029006394
