DOY,NIRv
1,0.0633217609973759
9,0.0633292909012061
17,0.0401209890725408
25,0.0506369448846183
33,0.0652962413887896
41,0.0632780412330246
49,0.0640026405954285
57,0.0640661400770733
65,0.0630907362251127
73,0.0684542146227571
81,0.0697828059811893
89,0.089587152908167
97,0.0922610710938558
105,0.1152680579035759
113,0.1231085488789445
121,0.1608473352336857
129,0.2087913646806024
137,0.2256636378671322
145,
153,0.225163354261297
161,0.248365879923482
169,0.2750839249437948
177,0.305639604016054
185,0.3154132220083435
193,0.3530561921391977
201,0.3610378162947562
209,0.3668493960002051
217,0.3723405056758336
225,0.3671123380461417
233,0.3401695461928508
241,0.3373932345403161
249,0.290688111275426
257,0.2735927049192017
265,0.2013538998031298
273,0.1883844495769134
281,0.1646320903046012
289,0.1501518025699435
297,0.1175874439630708
305,0.115164748879008
313,0.1132795432377101
321,0.1075118796348767
329,0.0896227654478586
337,0.0917522564357593
345,0.0939861299605981
353,0.0882068177799803
361,0.0823679833798645
