DOY,NIRv
1,0.090726400614893
9,0.0909041912869487
17,0.0905167457554596
25,0.1006481241866404
33,0.0891967883682022
41,0.074826763123712
49,0.0738136260764663
57,0.0785983079835924
65,0.0870579602156974
73,0.0965277981491024
81,0.0986166467992869
89,0.1101690490371995
97,0.120048199544484
105,0.1326256092032902
113,0.140550230862319
121,0.1538239150304746
129,0.1566980949106084
137,0.1707394822272192
145,0.1916301327240477
153,0.2199714994276763
161,0.2451834420420745
169,0.2584385059565388
177,0.2612748122546797
185,0.3572113875922796
193,0.3938321379644505
201,0.4129591775152586
209,0.4341418663219944
217,0.4236310540917852
225,0.4184394753694126
233,0.3751224880813472
241,0.3663137211412074
249,0.3448698380329742
257,0.2647443437596147
265,0.2166812911545964
273,0.182290319262477
281,0.1379448523777742
289,0.1148576866400242
297,0.0939658822183641
305,0.0889827649678695
313,0.0819334347538297
321,0.0807350321292068
329,0.074328703484362
337,0.0754968628519825
345,0.0634107173020141
353,0.0587862648730969
361,0.0662426270761359
