DOY,NIRv
1,0.0361699399074262
9,0.0378956450908781
17,0.0380758640770141
25,0.0448700187307016
33,0.0516618092998803
41,0.0446637448962705
49,0.0335913634018782
57,0.0341092512109354
65,0.0391369050514372
73,0.0433929956628646
81,0.045248623292236
89,0.0530701764992517
97,0.0519173507647559
105,0.0563242557666678
113,0.0609250612486592
121,0.0721971914513226
129,0.1121756524391598
137,0.1344388276082989
145,
153,0.1690362686561624
161,0.1771891126435869
169,0.2697506967036907
177,0.3029200649679263
185,0.3394942547183101
193,0.3619041675901154
201,0.3785885879577823
209,0.3772132532850198
217,0.3692417099241317
225,0.3681098035471969
233,0.3228851852824763
241,0.3023364014987589
249,0.2394938782329735
257,0.1887775391004945
265,0.1093622591870756
273,0.108466226418164
281,0.096038832593676
289,0.0867038484969398
297,0.0647459673665927
305,0.0664792842346478
313,0.0650076681673288
321,0.061851640584945
329,0.0559440799160766
337,0.0555004720038466
345,0.0557307835938015
353,0.0515158489562145
361,0.0507211647007729
