DOY,NIRv
1,0.0773783815591205
9,0.0733404970499366
17,0.0682700130179291
25,0.0672254879878143
33,0.0650151578470083
41,0.0660799637026106
49,0.0680015557916099
57,0.070757053964442
65,0.0765603226371691
73,0.0828844017414038
81,0.101057236386378
89,0.1037623559428349
97,0.1124924695688655
105,0.1202501765566372
113,0.1480960169645865
121,0.1603336287949306
129,0.182490519242545
137,0.1871716918003826
145,0.1863760460114411
153,0.1975186894861313
161,0.2417969185704174
169,0.2730721537722674
177,0.2921522923158436
185,0.2940347710600723
193,0.2953901687572867
201,0.3051664429212691
209,0.3200520791965816
217,0.3151985833039269
225,0.3216440123075993
233,0.3287857901135207
241,0.3077817622909161
249,0.2792057692921454
257,0.2467019666090354
265,0.2359861344953231
273,0.1621121850415561
281,0.1239210752049884
289,0.109413869932112
297,0.1140664277545584
305,0.092594884570176
313,0.0935897919184733
321,0.0865141223211197
329,0.0828186357426236
337,0.0775048190938682
345,0.0775646379834727
353,0.072977942073561
361,0.0688308164700736
