DOY,NIRv
1,0.0807777496319007
9,0.0807416037344136
17,0.0750139587389409
25,0.0782211442762299
33,0.0781486514448215
41,0.0739816105301319
49,0.0733164065306228
57,0.0713709646729288
65,0.0712581675418549
73,0.0960150583363272
81,0.1004623669622745
89,0.1083443750843348
97,0.1167764739864952
105,0.1363837390782071
113,0.1441388343619088
121,0.1500415750298462
129,0.1569718503121317
137,0.1752875542564349
145,0.1782591706376601
153,0.1833565737394654
161,0.1888390906005377
169,0.2457076270487881
177,0.2540230277870355
185,0.3164285511088247
193,0.3307299465442284
201,0.3739057622883062
209,0.388758084004762
217,0.399516430062563
225,0.3975010351178099
233,0.3643307609215485
241,0.3469366377169365
249,0.273700763544434
257,0.2628782369785103
265,0.1917804628930935
273,0.1538367061299161
281,0.1196102122860662
289,0.1157507083807951
297,0.1023501825256789
305,0.1069903623296628
313,0.1027653388021425
321,0.0974334502286406
329,0.0914999417782883
337,0.0857959555557893
345,0.0918915140292356
353,0.082075323727493
361,0.0851861575504907
