DOY,NIRv
1,0.0660505105705596
9,0.062862390662366
17,0.0587936483422714
25,0.0586052285811547
33,0.0568513279043087
41,0.0552846337252627
49,0.0612530790363581
57,0.0597894136813259
65,0.0595309798226203
73,0.0638728759810833
81,0.0628569259654572
89,0.0704291274127786
97,0.0775803281111884
105,0.0943404834462664
113,0.127246389284217
121,0.1596733437835585
129,0.1629634906619512
137,0.2026177201765256
145,0.2087759097348364
153,0.2290602387873026
161,0.2639377996349463
169,0.2988917199828967
177,0.3267945904563523
185,0.3790468799532978
193,0.3855533505049531
201,0.3925416223026144
209,0.4145338516473962
217,0.4194913998635167
225,0.4107289002314794
233,0.3841112144125541
241,0.3690713946354734
249,0.2953107580896774
257,0.2490059905178483
265,0.2004280845753146
273,0.176706791255171
281,0.1585527677211462
289,0.1373042667746186
297,0.1291639599153742
305,0.1227797353823325
313,0.1058764471144828
321,0.1104190973284352
