DOY,NIRv
1,0.0695068729862505
9,0.0732967107643294
17,0.0743398800362655
25,0.0659891919919605
33,0.0667373857959944
41,0.0731392008437776
49,0.0805994014161257
57,0.0870585801081649
65,0.0903833335698831
73,0.099295282936305
81,0.1159987292512509
89,0.1426448780852305
97,0.1432987484748493
105,0.1662589030774106
113,0.162741125558493
121,0.1630170640892752
129,0.194475140170259
137,0.2030671709367428
145,
153,0.2223827204268292
161,0.2479597145101161
169,0.2772251013270913
177,0.3017291968711892
185,0.3356926384962904
193,0.3764701032622557
201,0.3758159642360747
209,0.3727398965093122
217,0.3835155575425383
225,0.3770582765999702
233,0.3466814457902097
241,0.3317386398215185
249,0.2659295827025944
257,0.2117198513074409
265,0.1695453816302355
273,0.1485962200510148
281,0.1354030973345401
289,0.1252857773793881
297,0.1020942239069151
305,0.1008447233301703
313,0.0982666662248806
321,0.0987227207560136
329,0.0923103711039284
337,0.0905257129496253
345,0.0860789385307858
353,0.0946739381639391
361,0.0911315718279088
