DOY,NIRv
1,0.0252740994288647
9,0.061922753710586
17,0.0718994059950003
25,0.0719200702660366
33,0.0620674455903094
41,0.0670549633546184
49,0.0748695754289689
57,0.0784060598156129
65,0.0782637322593025
73,0.0772441804495019
81,0.0809602436164982
89,0.0938556729774288
97,0.0947956872294608
105,0.1132123092287019
113,0.1176370407247185
121,0.1455590506577213
129,0.1845967748815112
137,0.1948135742496745
145,0.2052310927444759
153,0.2207846413613546
161,0.2582670216366015
169,0.3410403153654046
177,0.3510756011116924
185,0.3701076189990722
193,0.3621911966383244
201,0.4236834519561496
209,0.4156599352125515
217,0.4165683116409766
225,0.4189066416716596
233,0.3908129225773956
241,0.3506322761585904
249,0.2433486878177265
257,0.2253692331216204
265,0.1653743603530258
273,0.1543278129285538
281,0.1309570933962226
289,0.1275801289615629
297,0.1150682732087369
305,0.1030572488144228
313,0.1014365778468266
321,0.0967057020304341
329,0.0945654965989882
337,0.0903096004126109
345,0.0818716066616166
353,0.0819159360918165
361,0.0813887949808508
