DOY,NIRv
1,0.0450024416461264
9,0.0526517253237551
17,0.0444817418163967
25,0.045367354779815
33,0.0453975705132029
41,0.0323394044517491
49,0.0135683605647681
57,0.0138839516028997
65,0.049587782410617
73,0.0453307496174043
81,0.0458911821751421
89,0.0532531026452411
97,0.0553089515374527
105,0.0678673469302601
113,0.0757089460839261
121,0.0993645359278006
129,0.1007230520231461
137,0.1262157491695248
145,0.1553131731148699
153,0.1644600914536171
161,0.18163942993329
169,0.2055039871716885
177,0.2241230302268241
185,0.3087181508279629
193,0.3187916739105154
201,0.3279404922672875
209,0.3408600916488687
217,0.3524802704361826
225,0.3467441469965684
233,0.332541220564665
241,0.3306784119251931
249,0.2784574727445074
257,0.2720141877390812
265,0.1819084959320049
273,0.1612658203754553
281,0.1257238175715566
289,0.1159844671414693
297,0.1095429898969935
305,0.0944968226005264
313,0.086266400318277
321,0.0862431855702496
329,0.0804726981766164
337,0.0439825636022652
345,0.0403605745879311
353,0.0455956879473618
361,0.0498636573015244
