DOY,NIRv
1,0.0283138905004446
9,0.0612719351951532
17,0.0584530767290605
25,0.058896407129423
33,0.0579177536752008
41,0.0614264001510212
49,0.0592030266476331
57,0.0578172482776462
65,0.0586425685554809
73,0.0601876666303382
81,0.0588501130022027
89,0.0597375573829017
97,0.0619557138816471
105,0.0740561007063547
113,0.0910666899624476
121,0.1166942352507156
129,0.162212477891228
137,0.1933616684133877
145,0.2192772401506481
153,0.2258312170795505
161,0.267192743910996
169,0.3115426924368468
177,0.3408841304884394
185,0.3830718340885276
193,0.3880688961377923
201,0.3971584306103884
209,0.3993446234844607
217,0.3920890728946929
225,0.376088924664617
233,0.3639505040340094
241,0.2793411676613234
249,0.2693500194659471
257,0.2083955810915188
265,0.1925872043182511
273,0.1647256064467755
281,0.1282108141443215
289,0.1271537027112475
297,0.1236855587947966
305,0.0999027203498876
313,0.0909022902802677
321,0.0832919800564534
329,0.0686497851314027
337,0.0681956181592766
345,0.0688099732356952
353,0.0569730318500064
361,0.0666583167485344
