DOY,NIRv
1,0.0474833272200993
9,0.0483417866034902
17,0.0478173876460495
25,0.0427118239897051
33,0.047543826717087
41,0.04785655600726
49,0.0471822149260476
57,0.0518784026518272
65,0.0514537583218997
73,0.050369514920906
81,0.0477089672309344
89,0.0485967336816487
97,0.050536552082084
105,0.052584455490818
113,0.0619322966642001
121,0.0672181709226586
129,0.0762681464303134
137,0.0926994476431888
145,0.1136996018212206
153,0.1253394945931074
161,0.157383036819971
169,0.1805480655173081
177,0.2438896984871899
185,0.276288896131548
193,0.3179534071569391
201,0.3277959258298388
209,0.3508791421414371
217,0.3462078827597121
225,0.3271524762682558
233,0.3042022854427724
241,0.2620778892214066
249,0.165440277232484
257,0.1281640264720769
265,0.1210023593822475
273,0.1023081590819815
281,0.1002514213440127
289,0.0845634517932737
297,0.0756148574161219
305,0.0742308014779751
313,0.0675308797082437
321,0.0674155659633034
329,0.0662585131693303
337,0.064182554066977
345,0.0665875473120487
353,0.0631667624194922
361,0.0511532508680671
