,0
1,0.07151464154854609
2,0.07163207666948221
3,0.07175033254092604
4,0.07186279429116328
5,0.07196385852937941
6,0.0720488827142335
7,0.07211413544357623
8,0.07215674766531177
9,0.07218709109831531
10,0.07219663003922887
11,0.07217923543275681
12,0.0721309661077871
13,0.0720498583244148
14,0.07193572363186762
15,0.07178995503733412
16,0.07161534148569372
17,0.07141595182613292
18,0.07119680787572216
19,0.07096382898994891
20,0.07072367893111305
21,0.07048362108400498
22,0.07025138201886671
23,0.07003502340163562
24,0.06984282225147115
25,0.0697012292298686
26,0.0696080855749656
27,0.06956358917812959
28,0.06956091924574344
29,0.06959930385784065
30,0.06967842432656828
31,0.06979804834588743
32,0.06995767913438573
33,0.07012676425679681
34,0.07032047223191465
35,0.07054875589690632
36,0.07083042734892281
37,0.07117261427453958
38,0.07157905582929507
39,0.07205035444232656
40,0.07258423088246695
41,0.07318886145930864
42,0.07384935252233235
43,0.07455048716382659
44,0.07528725211231063
45,0.07604946512557212
46,0.07682800067495607
47,0.07761500690121753
48,0.07840413719168775
49,0.07920696951387667
50,0.08001148663620017
51,0.0808101522842744
52,0.08158193477396006
53,0.08231912182031927
54,0.08301686220988382
55,0.08367313236630257
56,0.08428872096644405
57,0.08488738946973101
58,0.08546381835631463
59,0.08601829613381887
60,0.08653495330092544
61,0.08701348030163975
62,0.08745634059261662
63,0.08786843264772261
64,0.08825677461092363
65,0.08859316426631272
66,0.08890961459321035
67,0.08923442407268932
68,0.08959236362654927
69,0.0900051273327065
70,0.09049156450700388
71,0.0910679735413659
72,0.09174839632231521
73,0.09255306347853684
74,0.09348763515101215
75,0.09455750697450724
76,0.09573666886687372
77,0.09701429929474499
78,0.09837660451854026
79,0.09980672220317016
80,0.10128461971014002
81,0.10275955801002207
82,0.10422083774501073
83,0.10565053254261195
84,0.10707481229042744
85,0.10848853306120491
86,0.109885374718151
87,0.11125851809281942
88,0.11260131804997872
89,0.11392841069085301
90,0.11522357937585007
91,0.11647554766200233
92,0.11765567787844693
93,0.11875193890774502
94,0.11975600826731422
95,0.12066345332787665
96,0.12147391279541629
97,0.12218954626404571
98,0.12281969105586579
99,0.12337806695120265
100,0.12385494657704066
101,0.12425889672514485
102,0.12460055555142997
103,0.1248925725258878
104,0.12514953799794973
105,0.125433883573845
106,0.12573700615505526
107,0.12605820545649302
108,0.1263689855030786
109,0.12666408581668034
110,0.12694028523368772
111,0.12719536855760893
112,0.12742709818391706
113,0.12764177138290161
114,0.12782845176413882
115,0.1279744244813329
116,0.12812827591971232
117,0.12830361818787062
118,0.1285155992476997
119,0.12878039841448327
120,0.12911475455833515
121,0.1295534292810065
122,0.13010255297878803
123,0.13077002415628228
124,0.13155078967643444
125,0.13244722814230905
126,0.13346036672182734
127,0.13458928672194306
128,0.13583056766357043
129,0.137288733410514
130,0.13888911740000826
131,0.14056816236500666
132,0.14231901633894428
133,0.1441192420313419
134,0.14595693447320005
135,0.14782953040246857
136,0.14974273845062158
137,0.15179652557592885
138,0.15395970561779088
139,0.1562186690578559
140,0.15854015148091807
141,0.1609220934097008
142,0.1633714234182996
143,0.16590243984317038
144,0.1685353528402694
145,0.17111259502558024
146,0.1737688629450336
147,0.17661661892572303
148,0.1797508262508819
149,0.18324628487189867
150,0.1871612270539874
151,0.19153923373942944
152,0.1964112038209861
153,0.20180072500718615
154,0.2077174981550143
155,0.21416522147049225
156,0.22106401557911842
157,0.22837070001774482
158,0.23603433132926416
159,0.24399774991100612
160,0.25219915442028334
161,0.26048592297185885
162,0.26884300963462704
163,0.27724371128018155
164,0.28563597071444763
165,0.29396986823495275
166,0.30219075205498347
167,0.31024191907101467
