DOY,NIRv
1,0.0504478789675044
9,0.0511263931194484
17,0.0505590062956705
25,0.0503402009278328
33,0.0548047201252148
41,0.0491601934354428
49,0.0506962603902784
57,0.0507581234009702
65,0.0518359352337948
73,0.0623402848624026
81,0.0641181237482747
89,0.0749813738746584
97,0.0769116689719881
105,0.10183718466199
113,0.1198289230688153
121,0.1340484484880474
129,0.1314886124387652
137,0.1357101000789452
145,0.155939909717545
153,0.1906201210952437
161,0.2777977366424092
169,0.3518163162509711
177,0.3808631307232929
185,0.4211187353872959
193,0.4342269322150514
201,0.4990490116998731
209,0.4771169281715755
217,0.4660494909600209
225,0.4495719021239372
233,0.40922332249582
241,0.3134246941671343
249,0.2690815908435542
257,0.1731157080618681
265,0.121483391455435
273,0.1080492941479236
281,0.1057803729291395
289,0.1002881501913567
297,0.0936594440843199
305,0.0938175968222983
313,0.0821415294971569
321,0.0782477804057393
