DOY,NIRv
1,0.0322583329276014
9,0.0672712414101483
17,0.065194227147423
25,0.0576462016981007
33,0.0561615350813473
41,0.0573173682919429
49,0.0593678915015506
57,0.0615568465249027
65,0.0624312147949362
73,0.0623140827064973
81,0.0681523514119471
89,0.0691406653479706
97,0.0696708708235438
105,0.0796192755088282
113,0.1007445693766856
121,0.1117669506426407
129,0.1297386456467474
137,0.1396199665007778
145,0.1624835725086207
153,0.1774990554601889
161,0.2824484590336396
169,0.3534262082676275
177,0.3866034421294916
185,0.4006706733177718
193,0.4044224655120412
201,0.3974845920106544
209,0.3831788022131232
217,0.3853882675701761
225,0.3464177897472921
233,0.3372696821902026
241,0.2753087262305206
249,0.2493180958263847
257,0.1779017312085289
265,0.1480631480764023
273,0.1094232522594012
281,0.0957513287492614
289,0.0902624530239229
297,0.0918460237829799
305,0.0788547786545324
313,0.079171119473331
321,0.0742094964661737
329,0.0641658003290754
337,0.0628347996932556
345,0.0644683046493496
353,0.0640491208531657
361,0.0598783418625531
