DOY,NIRv
1,0.0371219879821778
9,0.0418552548992309
17,0.0449489919444543
25,0.0483936529395722
33,0.0439535048593174
41,0.042756416579987
49,0.0438018999018871
57,0.0125091866805378
65,0.0385286778516492
73,0.040761492177631
81,0.0428877038861943
89,0.0454865827535202
97,0.0467017884864982
105,0.0435280172945783
113,0.0500756511070137
121,0.0562180644844726
129,0.0715336173239318
137,0.0891466158753121
145,0.105383863059888
153,0.1160586412376435
161,0.178095051222174
169,0.2042257304527988
177,0.2908910873137045
185,0.3204800334681698
193,0.3428018576807943
201,0.3403027621551437
209,0.2652331407572109
217,0.3259690560145758
225,0.3121019706396952
233,0.3047761048481827
241,0.2781070710738988
249,0.2205913924822119
257,0.166412007979926
265,0.1388266753498248
273,0.0988597301600379
281,0.0936801519238655
289,0.0848024842173781
297,0.0786079006167557
305,0.0738186997152335
313,0.0368994548356983
321,0.0556386217999467
329,0.0564033181107789
337,0.0606565799185322
345,0.0237888656159623
353,0.0193114496383866
361,0.0203844562376237
