DOY,NIRv
1,0.043212573614459
9,0.0231695085039585
17,0.0414424420691562
25,0.041578968835722
33,0.0397316058946961
41,0.0422389814824584
49,0.0429163562291442
57,0.0424766394922882
65,0.0444050678141587
73,0.0461669891897565
81,0.0475659125824706
89,0.0477887248390259
97,0.0547327706324028
105,0.0554013317559295
113,0.0621294931801377
121,0.0757545301332214
129,0.0924541793312878
137,0.1213186991538421
145,0.1428020699944714
153,0.2001500728258309
161,0.251443333896556
169,0.2718677311433408
177,0.2806455875660674
185,0.3194488102233646
193,0.3333625611887411
201,0.3172026455931301
209,0.3234386340773608
217,0.3257985306383428
225,0.3153481009658684
233,0.2977471419299271
241,0.2930345523469999
249,0.2581494049951581
257,0.2076077236243959
265,0.1804271866720578
273,0.1415041272109436
281,0.1215430046697708
289,0.101760552186106
297,0.0957990805560434
305,0.0775314208042641
313,0.0759132464533212
321,0.0661450270522118
329,0.0482238599783824
337,0.0465325823889081
345,0.0489955453463358
353,0.0488902190518373
361,0.0482789098524742
