DOY,NIRv
1,0.0217920192966204
9,0.0543493158309363
17,0.0713307365905462
25,0.0713833861576446
33,0.0608185552332939
41,0.0662894150820759
49,0.0747251438771165
57,0.0783607139418451
65,0.0772825389538841
73,0.0758164275843202
81,0.0810584106657761
89,0.0930759107127194
97,0.0940974518851939
105,0.1134923464472413
113,0.1181521209862909
121,0.1402875372660585
129,0.1764499001219531
137,0.1871527599742189
145,0.2032452361473296
153,0.2331018223250917
161,0.2827985860702662
169,0.3701728657178762
177,0.3771111050256612
185,0.3883533018930302
193,0.3773769301183212
201,0.4172022544358754
209,0.404769079346804
217,0.4021055764296793
225,0.4037608859077783
233,0.3741753553654059
241,0.3310353115691751
249,0.2228516020401499
257,0.2083129717659796
265,0.1561574527181276
273,0.148665628022554
281,0.1283446931344458
289,0.1249582192501842
297,0.1102612179739201
305,0.10148665336213
313,0.100360171631439
321,0.0958351195664156
329,0.0942479448889637
337,0.089111398607258
345,0.0805653517161437
353,0.080979854610716
361,0.0807387302408068
