DOY,NIRv
1,0.0387281246283184
9,0.0240657745005622
17,0.0401497084521495
25,0.0388542488821395
33,0.0413399376913442
41,0.042980551541876
49,0.0430405966493646
57,0.0455859809765259
65,0.0489049412468014
73,0.049697758261474
81,0.0522624219261828
89,0.0513524236332837
97,0.0646269923710456
105,0.0663410051649955
113,0.0809977544840457
121,0.0984679945150831
129,0.1238669865452173
137,0.1458186170010472
145,0.1487739430253804
153,0.1739678385420096
161,0.1876831996247919
169,0.2174484410687413
177,0.2195992039924125
185,0.2745108529725699
193,0.3179130777081834
201,0.3469084767433771
209,0.3612609541382031
217,0.3791366484307775
225,0.3816120861836224
233,0.3502286399620436
241,0.3389235485197047
249,0.284964964720182
257,0.2388392465855056
265,0.1811658794798923
273,0.1349786741693473
281,0.1184036636394188
289,0.0978552940166063
297,0.0876613787284653
305,0.0648563164799518
313,0.0631428040934898
321,0.0575938357241294
329,0.0511723124937378
337,0.0502440680539166
345,0.0465704709246228
353,0.0393794586976276
361,0.0429352407751997
