DOY,NIRv
1,0.0782816883319948
9,0.0770729127047247
17,0.0805658508264398
25,0.0865014474196049
33,0.088817246672671
41,0.0889709738469095
49,0.0878869756309786
57,0.0950609112911968
65,0.0898449386984993
73,0.0898159112222727
81,0.0948306001630215
89,0.0796513867170553
97,0.0929889249614842
105,0.094635678873309
113,0.125317768330078
121,0.1536351897860226
129,0.1575414396896755
137,0.2085257636267667
145,0.2213891657685812
153,0.2563709644453353
161,0.2593335568232218
169,0.3246426116987885
177,0.3403094440142214
185,0.3656289795730057
193,0.3641484612148881
201,0.3622410057555755
209,0.3859582645398551
217,0.34824748771872
225,0.3476015372895725
233,0.2955935439824945
241,0.2861682912095892
249,0.2373549085559528
257,0.1943839653619931
265,0.156354967218791
273,0.1379111498148766
281,0.1232793690019374
289,0.1145836442115321
297,0.0902091665388729
305,0.0893425533335095
313,0.0717730973382224
321,0.0676413952070069
329,0.0678959273436679
337,0.0680236781416417
345,0.0721171998925377
353,0.0772602518114987
361,0.0839021481417206
