DOY,NIRv
1,0.0330799952029919
9,0.0366575956371735
17,0.0242854710803345
25,0.0121757198444692
33,0.0145365473970641
41,0.0184171531333333
49,0.0174965114042934
57,0.0163158127804878
65,0.0277483220032052
73,0.0330091984661422
81,0.0324791111932557
89,0.0376465297704827
97,0.0418022058493744
105,0.04547340575599
113,0.0498638349366377
121,0.061706973341483
129,0.0667983336566677
137,0.073301941837414
145,0.0975283430414367
153,0.1076156514938534
161,0.1471867880662935
169,0.2149350797307676
177,0.2290958204654894
185,0.2864292137507151
193,0.2985281134774741
201,0.3318572880116827
209,0.3429572305802367
217,0.3538101275309581
225,0.3475980882509634
233,0.3203014753357174
241,0.3103001971096263
249,0.2522766769262202
257,0.2425045342647544
265,0.1205973030995501
273,0.1084342565215728
281,0.0869935556145939
289,0.0861911207894702
297,0.0896423639358725
305,0.0740966919233321
313,0.0729423644320773
321,0.0725130502522252
329,0.0506726387272101
337,0.0454707064927403
345,0.0439282492113771
353,0.0429674309648835
361,0.0443769442227243
