DOY,NIRv
1,0.0384433052797483
9,0.0386751062479067
17,0.0300284006409656
25,0.0351086306116076
33,0.033545750966983
41,0.0352036359425372
49,0.0377699704010232
57,0.0232638383037083
65,0.0420110748004449
73,0.0442682485408001
81,0.0438043270566049
89,0.0465294442060837
97,0.0516427529030613
105,0.0545251923569796
113,0.068508965313341
121,0.0853913136803685
129,0.1045059965166552
137,0.1293790318100161
145,0.1524774529324919
153,0.1552462906506685
161,0.1991497467081104
169,0.2284004524812322
177,0.3078792239782053
185,0.3560205356358432
193,0.3748159321827762
201,0.3722189943902741
209,0.3527369014791431
217,0.4213469671800802
225,0.3909579530234405
233,0.3682901863632407
241,0.3522579686314361
249,0.2848633801059382
257,0.226844685721259
265,0.177015073176175
273,0.1299236340645108
281,0.1195023341156419
289,0.0959361748983056
297,0.0888698404210189
305,0.0786932469440309
313,0.0534743582307502
321,0.0571672359417968
329,0.056296089780872
337,0.0546732296910221
345,0.0370712760454876
353,0.0194942726604589
361,0.0308778008913851
